Rank,Station ID,Station Name,Lines,Priority Note,Named,Facade,Station,Station Entrance,Walking Paths,City Limits,Tunneled,Connected,Aligned,Finished Railway,Signs,Chimes
1,P_C2,Ridgewater,C,Ridgewater: needs chimes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,FALSE
2,P_E4,The Edge,E,The Edge: needs chimes,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,FALSE
3,P_A9,Isle of Whales,A,Isle of Whales: needs façade and station entrance,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE
4,P_E6,Mt. Phosphagos,E,"Mt. Phosphagos: needs paths, city limits, signs, and chimes",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,,FALSE,FALSE
5,P_C5,Amortay,C,"Amortay: needs façade, station, station entrance, and chimes",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,TRUE,FALSE
6,P_B5,Caverndeau,B,"Caverndeau: needs façade, station, and connected",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,
7,P_H7,Langland,H,"Langland: needs façade, station, paths, city limits, and tunneling",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE,,,
8,P_B8,Slimin,B,"Slimin: needs façade, station, paths, city limits, and connected",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,
9,P_E5,Isthmopol,E,"Isthmopol: needs façade, station, station entrance, paths, city limits, signs, and chimes",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,FALSE,FALSE
10,P_J10,Cameltoe,J,"Cameltoe: needs façade, station, station entrance, paths, city limits, and tunneling",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,,,
11,P_E8,Castle Crossing,E,"Castle Crossing: needs façade, station, station entrance, paths, city limits, and connected",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,
12,P_D6,East Arendel,D,"East Arendel: needs façade, station, station entrance, paths, city limits, and connected",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,
13,P_D8,Hollow Bluffs,D,"Hollow Bluffs: needs façade, station, station entrance, paths, city limits, and connected",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,
14,P_N8,Michael,N,"Michael: needs façade, station, station entrance, paths, city limits, and tunneling",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,,,
15,P_C6,Neamegapolis,C,"Neamegapolis: needs façade, station, station entrance, paths, city limits, and tunneling",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,,,
16,P_F5,Pano,F,"Pano: needs façade, station, station entrance, paths, city limits, and tunneling",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,,,
17,P_F4,Papillon,F,"Papillon: needs façade, station, station entrance, paths, city limits, and tunneling",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,,,
18,P_C7,Pinto Peak,C,"Pinto Peak: needs façade, station, station entrance, paths, city limits, and tunneling",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,,,
19,P_C8,Prumpvatn,C,"Prumpvatn: needs façade, station, station entrance, paths, city limits, and tunneling",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,,,
20,P_J9,Volbura,J,"Volbura: needs façade, station, station entrance, paths, city limits, and tunneling",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,,,
21,P_D7,West Arendel,D,"West Arendel: needs façade, station, station entrance, paths, city limits, and connected",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,
22,P_J11,Østligste,J,"Østligste: needs façade, station, station entrance, paths, city limits, and tunneling",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,,,
23,P_BKL,Clifton,"B, K, L","Clifton: 3-line junction, needs façade, station, paths, city limits, and connected",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,
24,P_BJZ,Toot'n'Cummin,"B, J, Z","Toot'n'Cummin: 3-line junction, needs façade, station, paths, city limits, and connected",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,
25,P_KN,Aesopia,"K, N","Aesopia: 2-line junction, needs façade, station, station entrance, paths, city limits, and tunneling",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,,,
26,P_CT,Aldinhöfn,"C, T","Aldinhöfn: 2-line junction, needs façade, station, station entrance, paths, city limits, and tunneling",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,,,
27,P_FG,Kato,"F, G","Kato: 2-line junction, needs façade, station, station entrance, paths, city limits, and tunneling",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,,,
28,P_EV2,Krimnos,"E, V","Krimnos: 2-line junction, needs façade, station, station entrance, paths, city limits, and connected",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,
29,P_CD,Peapod,"C, D","Peapod: 2-line junction, needs façade, station, station entrance, paths, city limits, and connected",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,
30,P_NU6,Rack City,"N, U","Rack City: 2-line junction, needs façade, station, station entrance, paths, city limits, and tunneling",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,,,
31,P_ET,Stilton,"E, T","Stilton: 2-line junction, needs façade, station, station entrance, paths, city limits, and connected",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,
32,P_BH,T-t-t-town,"B, H","T-t-t-town: 2-line junction, needs façade, station, station entrance, paths, city limits, and connected",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,
33,P_EQ10,West Stilton,"E, Q","West Stilton: 2-line junction, needs façade, station, station entrance, paths, city limits, and connected",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,
34,P_EPR,Kelp City,"E, P, R","Kelp City: 3-line junction, needs façade, station, station entrance, paths, city limits, and connected",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,
35,P_F7,Skylonisos,F,"Skylonisos: 4.7 km, needs façade, station, station entrance, paths, city limits, and tunneling",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,,,
36,P_MNX,Mycopolis,"M, N, X","Mycopolis: 3-line junction, needs façade, station, station entrance, paths, city limits, tunneling, and align to other station(s)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
